Alt AM (km),Temp AM (K),Alt AM (km)
79.7,247.36088509231496,79.7
80.7,236.53689003025704,80.7
81.7,225.9546989774711,81.7
82.8,215.87365609134426,82.8
83.3,206.56336631743113,83.3
83.9,198.25202543391808,83.9
84.1,191.0887739244454,84.1
84.3,185.13985339103607,84.3
84.9,180.37683499003953,84.9
85.0,176.7048002331933,85.0
85.0,174.025650175694,85.0
85.8,172.23599066726695,85.8
85.8,171.18851426058106,85.8
85.9,170.70439758877012,85.9
86.4,170.6303987038819,86.4
86.5,170.8680828738276,86.5
86.6,171.34198264170442,86.6
86.9,171.97142391250992,86.9
87.2,172.68823746797742,87.2
87.3,173.45259090660616,87.3
87.5,174.23490774140552,87.5
87.8,174.9936089584359,87.8
87.9,175.68663154828846,87.9
88.1,176.30438079809082,88.1
88.4,176.87418813517905,88.4
88.4,177.43980755134305,88.4
88.8,178.04256959444552,88.8
88.9,178.69718121194668,88.9
89.0,179.38363702296502,89.0
89.2,180.07274373634056,89.2
89.6,180.7521250406467,89.6
89.7,181.43878267716002,89.7
89.8,182.1746274531246,89.8
90.1,182.98401524057306,90.1
90.2,183.83942930779875,90.2
90.6,184.6976856520162,90.6
90.7,185.5402191677406,90.7
90.9,186.36535858736983,90.9
90.9,187.20601902697746,90.9
91.4,188.1374590360736,91.4
91.6,189.1958058359803,91.6
91.6,190.3351698034927,91.6
91.8,191.50759789774855,91.8
92.3,192.70461444139838,92.3
92.3,193.89993458931463,92.3
92.5,195.05717330935036,92.5
92.7,196.1821478814119,92.7
92.9,197.27850171584663,92.9
93.2,198.30007906928978,93.2
93.3,199.1897450981812,93.3
93.4,199.94014438133115,93.4
93.6,200.60031950870257,93.6
94.0,201.20452117893404,94.0
94.1,201.72514384559705,94.1
94.2,202.1164046197752,94.2
94.3,202.38536813287013,94.3
94.4,202.60841304057868,94.4
95.0,202.86336537016027,95.0
95.1,203.1813936509995,95.1
95.3,203.56579484178548,95.3
95.3,204.01399626452417,95.3
95.3,204.56350892722722,95.3
96.0,205.30968035243325,96.0
96.1,206.31170336617978,96.1
96.1,207.50928003285526,96.1
96.2,208.76070114346035,96.2
96.4,209.93835775326295,96.4
97.0,211.00175449985292,97.0
97.0,211.99032856005232,97.0
97.1,212.93211559876107,97.1
97.2,213.79184000584706,97.2
97.6,214.52287002885083,97.6
97.9,215.13502343443741,97.9
98.1,215.68357758690286,98.1
98.1,216.19377920963595,98.1
98.3,216.63576485670487,98.3
98.8,216.979510878227,98.8
98.8,217.2503448220523,98.8
99.1,217.51812686412163,99.1
99.1,217.83128380970624,99.1
99.4,218.19531860340945,99.4
99.7,218.59604507826748,99.7
100.0,218.99536741162947,100.0
100.1,219.34762703405227,100.1
100.3,219.6458741397425,100.3
100.5,219.92464704480685,100.5
100.7,220.22384337141102,100.7
101.1,220.54206904043758,101.1
101.2,220.8168432386874,101.2
101.4,220.98214731916912,101.4
101.5,221.03938392039848,101.5
101.7,221.04061313694964,101.7
102.1,221.01451150665196,102.1
102.4,220.9360284960824,102.4
102.5,220.7751999461564,102.5
102.7,220.55317958263532,102.7
102.7,220.32683366713502,102.7
103.2,220.13213897814944,103.2
103.6,219.95408003694874,103.6
103.6,219.74402871927597,103.6
103.7,219.4678784571848,103.7
103.7,219.1292086831167,103.7
104.2,218.7381481858874,104.2
104.5,218.28303573130526,104.5
104.7,217.75177114587993,104.7
104.8,217.15878137394725,104.8
104.8,216.53092372371674,104.8
105.3,215.87784800710668,105.3
105.5,215.18612803859278,105.5
105.7,214.4416858389505,105.7
105.9,213.6496521702519,105.9
105.9,212.8256060729472,105.9
106.3,211.97673820013298,106.3
106.5,211.0965223396465,106.5
106.7,210.17674871526268,106.7
106.9,209.21818317925354,106.9
107.0,208.2229011631662,107.0
107.3,207.18731982194362,107.3
107.5,206.10556460888535,107.5
107.7,204.97451067023502,107.7
108.0,203.79631922286933,108.0
108.0,202.57735558976538,108.0
108.4,201.32737172734545,108.4
108.5,200.0548055024907,108.5
108.7,198.76277605134672,108.7
108.9,197.45036427270662,108.9
109.0,196.11392081504158,109.0
109.3,194.75368692701102,109.3
109.4,193.3757321811549,109.4
109.6,191.9849204210414,109.6
109.8,190.58346856788918,109.8
110.0,189.17681749685943,110.0
110.3,187.78160621486703,110.3
110.4,186.41320298847342,110.4
110.4,185.05759409441956,110.4
110.7,183.68012956047482,110.7
110.9,182.26782688278905,110.9
111.2,180.8447432445215,111.2
111.2,179.437577819889,111.2
111.3,178.03646390075792,111.3
111.5,176.6077313898576,111.5
111.8,175.14131728211527,111.8
112.0,173.6654441711787,112.0
112.1,172.20652003965296,112.1
112.2,170.74851346501708,112.2
112.3,169.25148775245714,112.3
112.6,167.7040176666281,112.6
112.8,166.13680107700617,112.8
113.0,164.57820497979318,113.0
113.0,163.01505308682198,113.0
113.4,161.4176827815082,113.4
113.4,159.79116703698435,113.4
113.5,158.18060802404045,113.5
113.8,156.62904116536228,113.8
113.9,155.15606827833713,113.9
114.2,153.7737486070058,114.2
114.2,152.47243054688002,114.2
114.4,151.19376856257276,114.4
114.5,149.8666253461711,114.5
114.7,148.47173944457302,114.7
114.8,147.0515915757385,114.8
114.9,145.6512121567732,114.9
115.2,144.27011004839179,115.2
115.4,142.8983773090554,115.4
115.4,141.56566544018511,115.4
115.5,140.30540797821328,115.5
115.5,139.09938728975843,115.5
116.0,137.91044321525058,116.0
116.0,136.7476223793975,116.0
116.2,135.6459597377184,116.2
116.3,134.6034791158534,116.3
116.3,133.59499264138265,116.3
116.5,132.6247272706723,116.5
116.7,131.71745863344955,116.7
116.8,130.89267990234282,116.8
117.0,130.16438819110238,117.0
117.1,129.51799441827944,117.1
117.2,128.90414089792262,117.2
117.4,128.28582880540338,117.4
117.4,127.66358500040653,117.4
117.5,127.06558134782298,117.5
117.8,126.53815762914353,117.8
118.0,126.13330489655347,118.0
118.0,125.88509635166862,118.0
118.0,125.77780564515541,118.0
118.2,125.75414358274647,118.2
118.5,125.7725974337258,118.5
118.5,125.81781439338985,118.5
118.5,125.84948990487318,118.5
118.8,125.79387695113255,118.8
119.0,125.59201157200295,119.0
119.0,125.23924604122723,119.0
119.0,124.79988134030464,119.0
119.1,124.38171575354016,119.1
119.5,124.06929883644487,119.5
119.5,123.88211898656488,119.5
119.6,123.79532092092948,119.6
119.7,123.77932199333088,119.7
119.8,123.8097018092622,119.8
120.0,123.86390138350487,120.0
120.1,123.93121901574625,120.1
120.1,124.01527455823552,120.1
120.3,124.12325154426057,120.3
120.5,124.2516827212772,120.5
120.6,124.37915495748618,120.6
120.6,124.4899030517455,120.6
120.7,124.60379948693063,120.7
120.9,124.76061263798627,120.9
121.0,124.97331743826261,121.0
121.1,125.2178363655455,121.1
121.3,125.46737030475052,121.3
121.4,125.7086881942755,121.4
121.5,125.93364533654164,121.5
121.6,126.14075819124646,121.6
121.6,126.3279799995906,121.6
122.0,126.4811307660411,122.0
122.0,126.59522798678327,122.0
122.1,126.69611393696137,122.1
122.2,126.82465014395825,122.2
122.2,127.00191377061603,122.2
122.5,127.21157276178468,122.5
122.6,127.42585563270282,122.6
122.6,127.6425729154884,122.6
122.9,127.88750002877632,122.9
122.9,128.18615652899487,122.9
123.0,128.53159232399528,123.0
123.1,128.89437267001742,123.1
123.2,129.27207740943348,123.2
123.5,129.6978003831638,123.5
123.6,130.19398362752406,123.6
123.6,130.74450011423224,123.6
123.6,131.30980383879302,123.6
123.7,131.8580651268448,123.7
124.1,132.37832064964473,124.1
124.2,132.85683680681228,124.2
124.2,133.2738305394995,124.2
124.3,133.65019735104022,124.3
124.3,134.06119661013088,124.3
124.7,134.5753709703093,124.7
124.8,135.18604460816937,124.8
124.8,135.82398071429225,124.8
124.9,136.43742896987678,124.9
125.0,137.0216250521386,125.0
125.3,137.58597684161091,125.3
125.3,138.14008890735764,125.3
125.4,138.6945760021249,125.4
125.5,139.26687987654907,125.5
125.8,139.8932111247135,125.8
125.9,140.62625589597496,125.9
125.9,141.53294785921756,125.9
126.1,142.66122227996271,126.1
126.1,143.984868034206,126.1
126.5,145.43092049379516,126.5
126.5,146.94249133608582,126.5
126.5,148.47852847482574,126.5
126.8,149.99573115869723,126.8
126.8,151.44450607016614,126.8
127.1,152.79765837540378,127.1
127.1,154.09638718137847,127.1
127.3,155.41948233193645,127.3
127.4,156.8109325330923,127.4
127.6,158.26657934032565,127.6
127.7,159.78139109517784,127.7
127.9,161.38974346969513,127.9
128.1,163.12767833638486,128.1
128.1,164.9596867899242,128.1
128.3,166.79668109726745,128.3
128.5,168.61730853761165,128.5
128.8,170.50994820151908,128.8
128.9,172.54829261679814,128.9
129.0,174.69916976712307,129.0
129.2,176.873075827743,129.2
129.2,179.0004611568217,129.2
129.7,181.0698248047481,129.7
129.9,183.10649178761565,129.9
129.9,185.10386725885672,129.9
130.1,187.01045998326381,130.1
130.2,188.78406394636076,130.2
130.5,190.43605265838477,130.5
130.8,192.01347541511234,130.8
131.1,193.54150841143218,131.1
131.1,195.0092793811111,131.1
131.2,196.4056757966121,131.2
131.4,197.76142068980525,131.4
131.8,199.1425396303868,131.8
132.0,200.59928194908477,132.0
132.2,202.15907719900835,132.2
132.4,203.82683242492257,132.4
132.4,205.5384594893064,132.4
132.8,207.1740998278136,132.8
133.1,208.64998865111988,133.1
133.3,209.95310687612513,133.3
133.4,211.10350409580695,133.4
133.5,212.13517375798068,133.5
133.8,213.08072181810545,133.8
134.1,213.94321272721166,134.1
134.5,214.71028601689238,134.5
134.6,215.38710968847536,134.6
134.6,215.99920110266254,134.6
134.8,216.56844519827482,134.8
135.2,217.09110301654334,135.2
135.5,217.56015124652393,135.5
135.6,217.9969744522444,135.6
135.8,218.4294947808935,135.8
135.9,218.8503426784255,135.9
136.3,219.2239247874293,136.3
136.3,219.53783670242723,136.3
136.6,219.82469934756028,136.6
137.0,220.13267422931006,137.0
137.0,220.4919590959634,137.0
137.2,220.8965065301295,137.2
137.5,221.30308049677893,137.5
137.5,221.65884785261238,137.5
137.9,221.93849403448831,137.9
138.1,222.1501410939071,138.1
138.2,222.31450660946945,138.2
138.4,222.45028060510418,138.4
138.6,222.56671758625055,138.6
138.7,222.66486513290386,138.7
138.9,222.74506573153147,138.9
139.4,222.80741391708332,139.4
139.5,222.85195502469094,139.5
139.5,222.87384401212566,139.5
139.5,222.86329898624203,139.5
139.6,222.82215872086127,139.6
140.1,222.75901125706187,140.1
140.3,222.66610694725284,140.3
140.5,222.51563060099858,140.5
140.6,222.27259944811334,140.6
140.8,221.92623703413742,140.8
140.9,221.51574193376774,140.9
141.3,221.0916914541324,141.3
141.6,220.65457569817318,141.6
141.6,220.16862119324665,141.6
141.8,219.6254223224939,141.8
142.0,219.06270907859488,142.0
142.3,218.5142175790325,142.3
142.5,217.95952547715387,142.5
142.7,217.34954681320022,142.7
143.0,216.66625658640044,143.0
143.2,215.9317492426228,143.2
143.5,215.16664109718062,143.5
143.5,214.36629011672144,143.5
143.7,213.52574968559819,143.7
144.0,212.65998449395897,144.0
144.4,211.79036752906617,144.4
144.4,210.91504742317312,144.4
144.7,209.99299260632495,144.7
144.7,208.9641368751669,144.7
144.8,207.7812852835758,144.8
145.4,206.44284126996294,145.4
