Alt PM (km),Temp PM (K),Alt PM (km)
83.1,199.7463283065642,83.1
83.4,192.29488622419183,83.4
84.2,185.4331452664647,84.2
84.3,179.50409514953077,84.3
84.8,174.66357212067612,84.8
85.3,170.92051950870902,85.3
85.3,168.17539851724885,85.3
85.7,166.27111923007138,85.7
85.7,165.04792955723644,85.7
86.2,164.3697950912804,86.2
86.3,164.1159463497083,86.3
86.4,164.17504032449878,86.4
86.6,164.45928059424205,86.6
87.1,164.91099357638257,87.1
87.3,165.4821351293201,87.3
87.3,166.10998820109094,87.3
87.4,166.7280825972472,87.4
88.2,167.30228471236595,88.2
88.2,167.84443417089784,88.2
88.3,168.39179037300488,88.3
88.5,168.97900117683264,88.5
89.1,169.62361641954485,89.1
89.1,170.3280149895207,89.1
89.2,171.09309402160397,89.2
89.6,171.92752774203663,89.6
89.9,172.84147183427237,89.9
90.0,173.83836758744198,90.0
90.3,174.91736273503787,90.3
90.6,176.0818999251092,90.6
90.8,177.34123143227697,90.8
90.8,178.69739691104607,90.8
91.3,180.13304448969484,91.3
91.7,181.62107809602037,91.7
91.7,183.1407234172458,91.7
91.7,184.66536363337943,91.7
91.8,186.1445521993407,91.8
92.3,187.5356520359828,92.3
92.6,188.8477788582888,92.6
92.7,190.1148653538904,92.7
92.8,191.3323533481638,92.8
92.8,192.45295700248707,92.8
93.3,193.4479160478514,93.3
93.5,194.3496978944353,93.5
93.6,195.21050383934127,93.6
93.9,196.0330618184479,93.9
94.0,196.77301952171385,94.0
94.3,197.4078672375497,94.3
94.4,197.98205511999987,94.4
94.6,198.56591818856134,94.6
95.0,199.18791329136664,95.0
95.2,199.84256236250133,95.2
95.2,200.5384318751477,95.2
95.3,201.29276025987227,95.3
95.7,202.11015615015063,95.7
96.1,202.98831745894324,96.1
96.3,203.89340397581077,96.3
96.4,204.74206368994106,96.4
96.4,205.46865230327995,96.4
96.8,206.09337166163093,96.8
97.0,206.6910219215109,97.0
97.3,207.2988096475032,97.3
97.3,207.88128069601785,97.3
97.3,208.40613896000764,97.3
97.8,208.90954989647273,97.8
97.9,209.4374100491425,97.9
98.1,209.9633257083504,98.1
98.3,210.40997350952173,98.3
98.4,210.7384686216572,98.4
98.7,210.98884327329188,98.7
99.0,211.2123928328185,99.0
99.0,211.389280522197,99.0
99.3,211.4472041605732,99.3
99.4,211.35098086685926,99.4
99.6,211.14773597695722,99.6
99.8,210.89606613852874,99.8
100.1,210.56911628062045,100.1
100.3,210.07976147415582,100.3
100.5,209.38973762195786,100.5
100.5,208.55330914944273,100.5
100.5,207.6633139153659,100.5
101.2,206.7788028649945,101.2
101.2,205.9014989984185,101.2
101.3,205.01456133196365,101.3
101.4,204.1425005458933,101.4
101.6,203.36148963511835,101.6
101.7,202.75442546340915,101.7
102.1,202.36743011247188,102.1
102.3,202.16981809274722,102.3
102.4,202.0331777289766,102.4
102.4,201.80859237191885,102.4
102.6,201.45485760594087,102.6
102.6,201.06346277123745,102.6
103.2,200.75823713058145,103.2
103.3,200.57577947823387,103.3
103.5,200.4263981036359,103.5
103.5,200.18199033940115,103.5
103.6,199.8094401781086,103.6
104.0,199.39242542581948,104.0
104.1,199.02305399582733,104.1
104.6,198.69428254079907,104.6
104.6,198.30398305787952,104.6
104.6,197.76662007397596,104.6
104.8,197.10722556388095,104.8
105.1,196.4168717775239,105.1
105.5,195.7325663217419,105.5
105.6,195.0018766703226,105.6
105.7,194.16674171140258,105.7
105.8,193.25607973356065,105.8
106.0,192.36606055982776,106.0
106.4,191.55778541186723,106.4
106.7,190.81876814758354,106.7
106.8,190.11012255333125,106.8
106.8,189.39815502013752,106.8
107.0,188.65763974260614,107.0
107.3,187.8786065428815,107.3
107.7,187.05811998341844,107.7
107.8,186.19203332958185,107.8
107.9,185.27672489766968,107.9
107.9,184.3111019347643,107.9
108.2,183.3049357650247,108.2
108.7,182.2750078048395,108.7
108.8,181.24735119412261,108.8
108.8,180.26949571160748,108.8
109.0,179.37359090809395,109.0
109.1,178.52778543022535,109.1
109.7,177.6715011878453,109.7
109.8,176.7924208857893,109.8
109.8,175.931141258345,109.8
109.9,175.1247868330878,109.9
110.2,174.37700133817714,110.2
110.6,173.66698648197556,110.6
110.6,172.96115594275955,110.6
110.7,172.22906455755023,110.7
110.9,171.46808410724455,110.9
111.2,170.70090943333253,111.2
111.4,169.94731744406417,111.4
111.5,169.20650564440763,111.5
111.6,168.46845239338862,111.6
112.0,167.74664020184613,112.0
112.1,167.07528922650437,112.1
112.2,166.4587786875127,112.2
112.4,165.85624312618293,112.4
112.5,165.23338759641587,112.5
112.9,164.6016142054801,112.9
113.1,163.98530361693722,113.1
113.1,163.37377599844697,113.1
113.3,162.72955870741197,113.3
113.3,162.0337824525104,113.3
113.6,161.3071601815732,113.6
114.0,160.57946483330045,114.0
114.1,159.85141072435766,114.1
114.2,159.10656315696565,114.2
114.2,158.35277011382811,114.2
114.3,157.63735303143625,114.3
114.9,157.0199902600509,114.9
114.9,156.53276300967073,114.9
114.9,156.16010696339646,114.9
115.0,155.8453654384579,115.0
115.2,155.52658331016656,115.2
115.7,155.1769646533198,115.7
115.7,154.80022829192694,115.7
115.7,154.39159387838976,115.7
115.8,153.92153508398323,115.8
116.2,153.36029030665782,116.2
116.4,152.7159478308238,116.4
116.4,152.039926763097,116.4
116.5,151.39188361790875,116.5
116.5,150.81609051630952,116.5
117.1,150.34383410718908,117.1
117.2,149.98653698360062,117.2
117.2,149.7217111798777,117.2
117.3,149.49522008493324,117.3
117.3,149.2466041606481,117.3
117.8,148.94964928634278,117.8
117.9,148.62118344396,117.9
118.0,148.27744200892545,118.0
118.0,147.8990544842336,118.0
118.3,147.45126645001335,118.3
118.4,146.9359064084189,118.4
118.6,146.40525286477083,118.6
118.8,145.9137526507059,118.8
118.8,145.47724027536705,118.8
119.0,145.07434496519102,119.0
119.2,144.66457458895118,119.2
119.3,144.22659654699652,119.3
119.5,143.789384952716,119.5
119.6,143.3956038685747,119.6
119.7,143.04070156853643,119.7
120.0,142.6715501863622,120.0
120.1,142.2360675588986,120.1
120.2,141.73618454161195,120.2
120.2,141.23265747184197,120.2
120.5,140.7897331693909,120.5
120.6,140.4414669669693,120.6
120.8,140.2092778505695,120.8
120.8,140.09672921716268,120.8
120.9,140.0627295493089,120.9
121.3,140.04840471036258,121.3
